X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.177934064550501,38.723979361334763,1,81,9,Duarte Pacheco,Avenida Engenheiro Duarte Pacheco,,,,,"Duarte Pacheco (1899-1943), engenheiro, director do Instituto Superior Técnico aos 27 anos e ministro por três vezes, ficou conhecido, na história portuguesa, como o poderoso Ministro das Obras Públicas de Oliveira Salazar, na década de 30 e início da de 40. Em sua homenagem foi erigida, por iniciativa do Ministério das Obras Públicas, Transportes e Comunicações, uma estátua de bronze, com 2,80 m, inserida num monumento em pedra, com uma altura total de 3 m. Obra realizada por António Duarte, foi inaugurada, em 4 de Dezembro de 1993, na Av. Eng. Duarte Pacheco.

",-,1,d64dc36f-c117-4533-9738-6d1b54bfdc75
-9.142441351892129,38.73791870781892,2,177,9,Júlia Lopes de Almeida,"Rua de Dona Filipa de Vilhena, Jardim Gomes Amorim",,,,,"Escritora brasileira nascida em 1862, no Rio de Janeiro, considerada, à época, a maior figura literária feminina do seu país. A sua obra é variada, integrando romances, contos e peças de teatro. O monumento, obra de Margarida Lopes de Almeida, composto de busto em bronze sobre pedestal de pedra, foi oferecido pelas mulheres brasileiras às mulheres portuguesas. O busto, executado em 1939, só viria a ser inaugurado, no Jardim Gomes de Amorim, localizado na Praceta da Av. António José de Almeida, em 28 de Março de 1953.

",-,1,276f92b7-d713-4f52-bf9d-2b580e0892c8
-9.168585741156409,38.760343836682125,3,271,9,Folhas,Rua Professor Francisco Gentil,,,,,"Obra do escultor António Quina, traduz um conjunto de folhas caídas executadas em mármore. Por iniciativa camarária, foi inaugurada, em 2003, no exterior da Estação de Metro de Telheiras à Rua Professor Francisco Gentil.

",-,0,5ca61742-3d64-42d0-a969-ff28cd57402a
-9.179969964987901,38.749646351882248,4,267,9,Se vão da lei da morte libertando,"Rua  João de Freitas Branco, (junto à Estação de Metro do Alto dos Moinhos)",,,,,"Luís Vieira Baptista, Júlio Quaresma e Velhô, (Grupo Visionista), executaram esta peça no âmbito da 1ª Exposição Visionista de Artes Plásticas realizada no Convento das Bernardas, em 1991, tendo por base a obra épica de Os Lusíadas. Esta escultura evidencia na sua forma o elogio ao povo português consubstanciado na narrativa poética de Camões. Com 3,5m de altura foi concebida com o recurso a dois materiais, ferro metalizado pintado e pedra mármore, os quais se articulam muito bem jogando com a paleta cromática do branco pétreo e do vermelho e verde do metal. Estamos na presença de uma estrutura geométrica aberta com referência aos mastros, à Mezena triangular das naus, e ao pêndulo/bússula, símbolos do conhecimento técnico e da ciência que permitiram a navegação. Em termos alegóricos, os cilindros em pedra simbolizam a inscrição portuguesa que ergueu padrões sempre que a nau aportava em novas terras. Por iniciativa camarária foi inaugurada, em 3 de Setembro de 1991, junto à Estação de Metro do Alto dos Moinhos.
",-,1,e776d67d-ee7e-4998-965e-5e080ba78b99
-9.152358559491033,38.738079287216955,5,61,9,Sem título,"Avenida  Conde de Valbom, (frente ao nº 124 C)",,,,,"Obra de Artur Rosa, um artista da vanguarda portuguesa, datada de 1971, traduz uma escultura metálica formada por um arco composto por vários cubos em aço inox de tom vermelho, como que suspensos e interligados entre si. Implantada em 1999 na Avenida Conde de Valbom, esta peça de cariz construtivista, fortemente geométrica e de grande dinamismo em consequência do movimento oferecido pelo arco, surge bem integrada no espaço urbano envolvente.
",-,1,3cd0130d-dfe2-4eaf-8d22-be53df9f2c6d
-9.14099814370948,38.737923494305221,6,29,9,António José de Almeida,Avenida de António José de Almeida,,,,,"Monumento edificado segundo projecto do arq. Pardal Monteiro e esculpido por Leopoldo de Almeida, inaugurado a 31 de Dezembro de 1937, por iniciativa do Governo, na Praça onde convergem a Av. Miguel Bombarda e a Av. António José de Almeida. De composição simples, é constituído pela figura do médico, escritor,jornalista e político, António José de Almeida, de pé, esculpida em bronze, sobressaindo do monumento a figura da República, esculpida em pedra. É junto dele que no dia 5 de Outubro se costuma prestar homenagem aos heróis da implantação da República. A face principal do monumento apresenta a seguinte legenda: ""António José de Almeida, ardente tribuno, patriota perfeito, cidadão exemplar - Presidente da República 19919-1923. - 17-7-1866. - 31-10-1929"". Por sua vez, a face posterior do mesmo exibe legendas com frases históricas do Dr. António José de Almeida, como propagandista republicano (1906), como Ministro do Interior do Governo Provisório (1910) e como Presidente da República (1921).
",-,1,842f27b0-bf72-44da-8c70-b271c8e7a58e
-9.141849901109067,38.739468727124596,7,222,9,Figura feminina (sem título),Rua do Arco do Cego,,,,,"Estátua em pedra, que representa uma figura feminina a segurar fruta, assente sobre base quadrangular de cimento. Faz parte de um conjunto de duas estátuas colocadas simetricamente no Jardim do Bairro Social do Arco do Cego, também denominado Jardim das Estátuas.

",Junta de Freguesia de São João de Deus,1,837b1f8f-6c0e-4bd2-bde7-0d26ef09f4e3
-9.153057491901212,38.712348055486039,8,106,9,Leões,"Rua  Correia Garção, Escadaria do Palácio de S. Bento",,,,,"Obra de Raul Xavier, estes dois leões de pedra estão localizados, um de cada lado, no começo da escadaria exterior de acesso ao Palácio de São Bento.

",-,0,b721e535-0b03-411d-abbb-cb2cd14df001
-9.152216216044359,38.751763249242288,9,89,9,Luís de Camões,"Campo Grande, (junto ao edifício da Biblioteca Nacional)",,,,,"Estátua de Granito, obra de Euclides Vaz em homenagem a Luís Vaz de Camões (1524?-1580), grande poeta português, que deixou para a história uma das mais importantes obras jamais escritas em língua portuguesa: ""Os Lusíadas"". Foi inaugurada em 10 de Abril de 1969, fazendo parte de um conjunto de figuras da literatura portuguesa especialmente esculpidas para o jardim da Biblioteca Nacional, por ocasião da sua transferência para o Campo Grande.

",-,0,7e70fa0c-5bce-406d-ada3-de7dd7411529
-9.169294892801267,38.714182302165646,10,253,9,S. João Bosco,Praça São João Bosco,,,,,"João Bosco (1815-1888), foi sacerdote e educador, consagrando toda a sua vida à instrução popular e gratuita de crianças socialmente desfavorecidas. Fundador da Congregação dos Salesianos, foi canonizado na Páscoa de 1934 pelo Papa Pio XI, em virtude da sua reputação como renovador do sistema de educação da juventude. A sua estátua, em bronze, com 6m de altura e 5400 kg de peso, obra executada por Luís de Matos entre 1985 e 1987, ergue-se no centro de uma base circular relvada e delimitada por pedra, assente sobre uma plataforma de três degraus. Esta homenagem da Família Salesiana e da cidade de Lisboa a São João Bosco foi inaugurada na Praça do mesmo nome, em 31 de Janeiro de 1988, por ocasião do 1º centenário da sua morte.

",-,1,9eeab6ef-cdb3-4390-b43c-a8bb5c88feb2
